Course,Platform,Effectiveness,Student_Level
Photoshop Basics,Coursera,Effective,Beginner
Digital Painting,Coursera,Very Effective,Advanced
Advanced Illustrator,Skillshare,Very Ineffective,Intermediate
Photoshop Basics,edX,Ineffective,Advanced
Web Design,Udemy,Very Ineffective,Intermediate
3D Modeling,Udemy,Ineffective,Advanced
Digital Painting,LinkedIn Learning,Neutral,Advanced
3D Modeling,Udemy,Ineffective,Beginner
3D Modeling,Skillshare,Neutral,Advanced
Photoshop Basics,Skillshare,Very Effective,Beginner
3D Modeling,Udemy,Ineffective,Beginner
Web Design,Udemy,Very Ineffective,Beginner
3D Modeling,LinkedIn Learning,Neutral,Beginner
Photoshop Basics,Udemy,Very Ineffective,Advanced
Web Design,LinkedIn Learning,Effective,Intermediate
Advanced Illustrator,LinkedIn Learning,Neutral,Intermediate
3D Modeling,Udemy,Ineffective,Intermediate
Photoshop Basics,Coursera,Neutral,Advanced
Advanced Illustrator,Coursera,Very Ineffective,Beginner
Advanced Illustrator,LinkedIn Learning,Very Effective,Intermediate
Digital Painting,Udemy,Neutral,Advanced
Web Design,Coursera,Ineffective,Beginner
3D Modeling,Udemy,Effective,Intermediate
Photoshop Basics,Udemy,Very Effective,Beginner
Digital Painting,Udemy,Effective,Intermediate
Web Design,edX,Neutral,Intermediate
Digital Painting,Udemy,Very Ineffective,Intermediate
Web Design,edX,Very Ineffective,Beginner
Web Design,LinkedIn Learning,Ineffective,Advanced
3D Modeling,Coursera,Very Ineffective,Beginner
Web Design,Coursera,Very Effective,Intermediate
Digital Painting,Coursera,Very Ineffective,Beginner
Web Design,Coursera,Ineffective,Advanced
3D Modeling,Coursera,Neutral,Beginner
3D Modeling,Coursera,Neutral,Advanced
Digital Painting,Coursera,Very Ineffective,Advanced
Advanced Illustrator,LinkedIn Learning,Effective,Beginner
Advanced Illustrator,Udemy,Neutral,Intermediate
Web Design,Skillshare,Very Ineffective,Advanced
Photoshop Basics,edX,Ineffective,Beginner
Web Design,Skillshare,Very Ineffective,Advanced
Digital Painting,Skillshare,Neutral,Intermediate
Digital Painting,Udemy,Ineffective,Beginner
Digital Painting,Udemy,Very Ineffective,Beginner
Digital Painting,Udemy,Very Effective,Beginner
Digital Painting,Coursera,Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Very Effective,Advanced
Advanced Illustrator,Coursera,Effective,Beginner
Digital Painting,LinkedIn Learning,Ineffective,Advanced
Photoshop Basics,LinkedIn Learning,Very Effective,Advanced
Photoshop Basics,Skillshare,Neutral,Intermediate
Photoshop Basics,Skillshare,Neutral,Beginner
Photoshop Basics,LinkedIn Learning,Effective,Advanced
3D Modeling,LinkedIn Learning,Ineffective,Beginner
Photoshop Basics,Coursera,Ineffective,Beginner
Digital Painting,Coursera,Ineffective,Intermediate
Web Design,Skillshare,Effective,Beginner
Photoshop Basics,Udemy,Ineffective,Beginner
3D Modeling,LinkedIn Learning,Neutral,Advanced
3D Modeling,Coursera,Very Effective,Intermediate
Photoshop Basics,Skillshare,Neutral,Beginner
Web Design,Coursera,Neutral,Advanced
Photoshop Basics,LinkedIn Learning,Very Effective,Intermediate
3D Modeling,LinkedIn Learning,Neutral,Intermediate
Advanced Illustrator,edX,Effective,Advanced
Digital Painting,Udemy,Very Effective,Advanced
3D Modeling,edX,Neutral,Advanced
Photoshop Basics,Skillshare,Very Ineffective,Advanced
Digital Painting,Coursera,Neutral,Advanced
Photoshop Basics,Skillshare,Effective,Beginner
Photoshop Basics,LinkedIn Learning,Ineffective,Beginner
Advanced Illustrator,edX,Neutral,Intermediate
Digital Painting,edX,Ineffective,Beginner
Digital Painting,edX,Very Ineffective,Beginner
Advanced Illustrator,Skillshare,Neutral,Beginner
3D Modeling,LinkedIn Learning,Very Effective,Advanced
Photoshop Basics,Coursera,Ineffective,Intermediate
Web Design,Coursera,Very Ineffective,Intermediate
Photoshop Basics,Skillshare,Very Effective,Intermediate
Photoshop Basics,edX,Very Effective,Intermediate
3D Modeling,Udemy,Very Effective,Beginner
Photoshop Basics,Skillshare,Very Effective,Beginner
Advanced Illustrator,Skillshare,Neutral,Advanced
Advanced Illustrator,LinkedIn Learning,Neutral,Intermediate
Digital Painting,Coursera,Neutral,Beginner
Web Design,Skillshare,Very Ineffective,Beginner
Photoshop Basics,Skillshare,Very Ineffective,Advanced
Photoshop Basics,edX,Very Ineffective,Advanced
3D Modeling,edX,Effective,Advanced
Advanced Illustrator,Udemy,Very Ineffective,Beginner
Web Design,LinkedIn Learning,Neutral,Beginner
Digital Painting,Udemy,Neutral,Advanced
Advanced Illustrator,edX,Effective,Intermediate
Digital Painting,Coursera,Effective,Advanced
3D Modeling,edX,Very Ineffective,Advanced
3D Modeling,LinkedIn Learning,Ineffective,Advanced
Photoshop Basics,edX,Effective,Advanced
Web Design,LinkedIn Learning,Very Effective,Beginner
Digital Painting,LinkedIn Learning,Neutral,Intermediate
Advanced Illustrator,LinkedIn Learning,Very Effective,Advanced
3D Modeling,LinkedIn Learning,Neutral,Intermediate
Photoshop Basics,LinkedIn Learning,Neutral,Intermediate
Photoshop Basics,Coursera,Effective,Intermediate
Digital Painting,Udemy,Effective,Advanced
3D Modeling,Skillshare,Very Effective,Beginner
Web Design,Udemy,Neutral,Advanced
3D Modeling,LinkedIn Learning,Very Effective,Intermediate
Digital Painting,Coursera,Ineffective,Intermediate
Digital Painting,edX,Very Effective,Beginner
3D Modeling,Coursera,Very Ineffective,Advanced
Digital Painting,LinkedIn Learning,Very Effective,Intermediate
3D Modeling,Coursera,Very Ineffective,Beginner
Advanced Illustrator,Coursera,Very Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Very Ineffective,Beginner
3D Modeling,Coursera,Ineffective,Beginner
Digital Painting,Skillshare,Very Effective,Advanced
Digital Painting,Skillshare,Very Effective,Intermediate
Photoshop Basics,Coursera,Ineffective,Advanced
Photoshop Basics,edX,Neutral,Intermediate
Advanced Illustrator,LinkedIn Learning,Effective,Advanced
Photoshop Basics,Skillshare,Very Effective,Intermediate
3D Modeling,edX,Effective,Advanced
Digital Painting,Coursera,Ineffective,Beginner
Photoshop Basics,edX,Neutral,Intermediate
Photoshop Basics,Udemy,Neutral,Intermediate
Advanced Illustrator,Skillshare,Neutral,Beginner
Advanced Illustrator,Coursera,Ineffective,Advanced
3D Modeling,LinkedIn Learning,Very Ineffective,Intermediate
Digital Painting,Coursera,Very Ineffective,Intermediate
Advanced Illustrator,LinkedIn Learning,Effective,Advanced
Photoshop Basics,Coursera,Very Ineffective,Beginner
Digital Painting,edX,Very Ineffective,Advanced
Digital Painting,edX,Neutral,Advanced
Photoshop Basics,edX,Neutral,Advanced
Advanced Illustrator,Udemy,Effective,Intermediate
Photoshop Basics,LinkedIn Learning,Very Effective,Beginner
Digital Painting,edX,Effective,Beginner
Web Design,Udemy,Effective,Advanced
Web Design,LinkedIn Learning,Ineffective,Intermediate
3D Modeling,Coursera,Ineffective,Advanced
Photoshop Basics,Udemy,Effective,Intermediate
Photoshop Basics,Skillshare,Effective,Intermediate
3D Modeling,Udemy,Effective,Intermediate
3D Modeling,Udemy,Very Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Ineffective,Beginner
Digital Painting,Coursera,Effective,Intermediate
Photoshop Basics,Skillshare,Neutral,Intermediate
Digital Painting,edX,Neutral,Advanced
3D Modeling,edX,Very Ineffective,Advanced
Photoshop Basics,Udemy,Very Ineffective,Beginner
Digital Painting,LinkedIn Learning,Very Effective,Advanced
Digital Painting,LinkedIn Learning,Very Effective,Intermediate
3D Modeling,edX,Very Effective,Advanced
Photoshop Basics,Skillshare,Very Ineffective,Beginner
3D Modeling,Coursera,Very Ineffective,Advanced
Photoshop Basics,Skillshare,Very Ineffective,Advanced
Web Design,Coursera,Neutral,Beginner
Advanced Illustrator,edX,Very Ineffective,Beginner
Advanced Illustrator,Coursera,Neutral,Intermediate
Advanced Illustrator,LinkedIn Learning,Very Effective,Advanced
3D Modeling,Udemy,Very Effective,Intermediate
Web Design,Udemy,Very Effective,Advanced
Photoshop Basics,edX,Effective,Advanced
Digital Painting,LinkedIn Learning,Effective,Intermediate
Photoshop Basics,Skillshare,Ineffective,Advanced
Digital Painting,LinkedIn Learning,Ineffective,Advanced
Photoshop Basics,Udemy,Ineffective,Advanced
Web Design,Udemy,Effective,Beginner
Digital Painting,LinkedIn Learning,Effective,Intermediate
3D Modeling,LinkedIn Learning,Ineffective,Beginner
Photoshop Basics,Udemy,Ineffective,Intermediate
Photoshop Basics,Skillshare,Very Ineffective,Intermediate
Digital Painting,edX,Ineffective,Advanced
3D Modeling,edX,Very Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Neutral,Beginner
Web Design,edX,Effective,Beginner
3D Modeling,Udemy,Ineffective,Beginner
3D Modeling,Udemy,Effective,Intermediate
3D Modeling,LinkedIn Learning,Effective,Beginner
Advanced Illustrator,LinkedIn Learning,Effective,Intermediate
Web Design,LinkedIn Learning,Neutral,Beginner
Photoshop Basics,Skillshare,Very Effective,Beginner
Digital Painting,edX,Ineffective,Intermediate
Photoshop Basics,LinkedIn Learning,Very Effective,Beginner
Web Design,Coursera,Very Effective,Advanced
Digital Painting,Coursera,Very Effective,Intermediate
Web Design,Udemy,Effective,Intermediate
3D Modeling,edX,Very Ineffective,Intermediate
Digital Painting,LinkedIn Learning,Effective,Advanced
3D Modeling,Coursera,Effective,Intermediate
Photoshop Basics,edX,Very Effective,Beginner
Photoshop Basics,Udemy,Effective,Beginner
Digital Painting,Skillshare,Very Effective,Beginner
Digital Painting,edX,Very Ineffective,Intermediate
Web Design,edX,Ineffective,Beginner
Web Design,Skillshare,Very Effective,Intermediate
3D Modeling,edX,Very Ineffective,Beginner
Digital Painting,Udemy,Ineffective,Advanced
Photoshop Basics,Udemy,Neutral,Advanced
Web Design,Skillshare,Very Effective,Advanced
Web Design,LinkedIn Learning,Very Effective,Advanced
Photoshop Basics,Coursera,Neutral,Intermediate
Web Design,LinkedIn Learning,Neutral,Beginner
3D Modeling,edX,Very Effective,Advanced
Digital Painting,Coursera,Neutral,Intermediate
Photoshop Basics,Skillshare,Effective,Advanced
Digital Painting,Skillshare,Ineffective,Advanced
Web Design,Coursera,Ineffective,Intermediate
Web Design,Udemy,Ineffective,Intermediate
Photoshop Basics,Coursera,Effective,Beginner
3D Modeling,edX,Neutral,Beginner
Advanced Illustrator,Udemy,Very Ineffective,Advanced
Photoshop Basics,Skillshare,Neutral,Advanced
Advanced Illustrator,Coursera,Very Effective,Beginner
Advanced Illustrator,LinkedIn Learning,Ineffective,Beginner
3D Modeling,LinkedIn Learning,Neutral,Intermediate
Advanced Illustrator,edX,Very Ineffective,Beginner
Advanced Illustrator,LinkedIn Learning,Very Effective,Beginner
3D Modeling,Coursera,Effective,Advanced
Advanced Illustrator,Coursera,Effective,Beginner
Advanced Illustrator,LinkedIn Learning,Very Ineffective,Advanced
Advanced Illustrator,Coursera,Very Effective,Beginner
Photoshop Basics,edX,Ineffective,Intermediate
Photoshop Basics,Udemy,Neutral,Beginner
Photoshop Basics,edX,Very Effective,Beginner
3D Modeling,edX,Effective,Beginner
Web Design,Coursera,Very Ineffective,Advanced
Advanced Illustrator,Udemy,Very Ineffective,Intermediate
Advanced Illustrator,Coursera,Neutral,Beginner
3D Modeling,Skillshare,Very Ineffective,Advanced
Advanced Illustrator,Coursera,Very Ineffective,Intermediate
Photoshop Basics,Coursera,Very Effective,Advanced
Web Design,Coursera,Ineffective,Advanced
Digital Painting,Udemy,Neutral,Intermediate
Advanced Illustrator,Coursera,Very Effective,Beginner
Photoshop Basics,Udemy,Ineffective,Advanced
Digital Painting,LinkedIn Learning,Very Effective,Advanced
Web Design,Skillshare,Very Effective,Beginner
Digital Painting,Udemy,Very Ineffective,Beginner
Photoshop Basics,LinkedIn Learning,Ineffective,Intermediate
Digital Painting,Udemy,Neutral,Intermediate
3D Modeling,Udemy,Neutral,Intermediate
Digital Painting,Skillshare,Ineffective,Beginner
Advanced Illustrator,edX,Very Ineffective,Advanced
Advanced Illustrator,edX,Effective,Advanced
3D Modeling,Udemy,Very Effective,Intermediate
Photoshop Basics,Coursera,Very Ineffective,Beginner
Advanced Illustrator,LinkedIn Learning,Ineffective,Advanced
Web Design,Coursera,Very Effective,Intermediate
Advanced Illustrator,Coursera,Neutral,Advanced
Advanced Illustrator,Udemy,Effective,Advanced
Photoshop Basics,Udemy,Neutral,Beginner
Digital Painting,Udemy,Ineffective,Beginner
Advanced Illustrator,Udemy,Very Effective,Advanced
3D Modeling,edX,Ineffective,Intermediate
Digital Painting,Udemy,Very Effective,Beginner
Web Design,edX,Very Ineffective,Advanced
Photoshop Basics,edX,Effective,Beginner
Web Design,Udemy,Very Ineffective,Beginner
Digital Painting,Skillshare,Very Ineffective,Beginner
Digital Painting,LinkedIn Learning,Ineffective,Advanced
Digital Painting,Coursera,Effective,Intermediate
Web Design,edX,Very Effective,Intermediate
Digital Painting,LinkedIn Learning,Very Effective,Intermediate
Web Design,Skillshare,Neutral,Beginner
Digital Painting,Coursera,Very Effective,Advanced
3D Modeling,Coursera,Ineffective,Beginner
Digital Painting,edX,Very Ineffective,Intermediate
Web Design,Udemy,Very Ineffective,Intermediate
Advanced Illustrator,Skillshare,Very Ineffective,Advanced
Digital Painting,edX,Effective,Beginner
Advanced Illustrator,Skillshare,Very Effective,Intermediate
3D Modeling,Udemy,Ineffective,Advanced
Photoshop Basics,Udemy,Effective,Beginner
3D Modeling,edX,Neutral,Beginner
Digital Painting,Udemy,Ineffective,Intermediate
Advanced Illustrator,LinkedIn Learning,Ineffective,Intermediate
Advanced Illustrator,Coursera,Ineffective,Beginner
Web Design,edX,Very Ineffective,Beginner
Advanced Illustrator,Skillshare,Ineffective,Intermediate
Web Design,LinkedIn Learning,Very Effective,Beginner
Photoshop Basics,edX,Ineffective,Intermediate
Digital Painting,Udemy,Very Ineffective,Beginner
Web Design,Udemy,Ineffective,Intermediate
Photoshop Basics,Udemy,Neutral,Advanced
Advanced Illustrator,Udemy,Neutral,Intermediate
Advanced Illustrator,Skillshare,Very Ineffective,Intermediate
Photoshop Basics,LinkedIn Learning,Very Effective,Advanced
Advanced Illustrator,Coursera,Very Effective,Beginner
Photoshop Basics,Skillshare,Effective,Advanced
Web Design,Skillshare,Very Ineffective,Intermediate
Web Design,Coursera,Ineffective,Beginner
Photoshop Basics,Coursera,Very Ineffective,Advanced
Web Design,Udemy,Effective,Beginner
Web Design,Skillshare,Very Ineffective,Beginner
Web Design,edX,Very Ineffective,Advanced
3D Modeling,Coursera,Effective,Beginner
Digital Painting,Coursera,Very Effective,Advanced
Advanced Illustrator,LinkedIn Learning,Ineffective,Intermediate
3D Modeling,edX,Effective,Beginner
Web Design,edX,Neutral,Intermediate
Photoshop Basics,Coursera,Very Effective,Intermediate
Web Design,Udemy,Neutral,Beginner
Digital Painting,LinkedIn Learning,Very Effective,Advanced
Web Design,edX,Ineffective,Beginner
Photoshop Basics,Coursera,Ineffective,Intermediate
Digital Painting,edX,Very Ineffective,Intermediate
Web Design,LinkedIn Learning,Neutral,Advanced
Digital Painting,LinkedIn Learning,Very Effective,Beginner
Advanced Illustrator,Skillshare,Ineffective,Intermediate
Advanced Illustrator,Coursera,Effective,Intermediate
Web Design,LinkedIn Learning,Ineffective,Intermediate
Digital Painting,Skillshare,Effective,Advanced
Photoshop Basics,Skillshare,Very Effective,Intermediate
Web Design,edX,Ineffective,Intermediate
Advanced Illustrator,edX,Ineffective,Beginner
Advanced Illustrator,Skillshare,Very Effective,Beginner
Web Design,edX,Ineffective,Intermediate
Digital Painting,LinkedIn Learning,Effective,Intermediate
Advanced Illustrator,Udemy,Ineffective,Beginner
Digital Painting,LinkedIn Learning,Neutral,Advanced
Advanced Illustrator,Skillshare,Very Ineffective,Advanced
Advanced Illustrator,Skillshare,Effective,Advanced
3D Modeling,LinkedIn Learning,Neutral,Advanced
Advanced Illustrator,edX,Very Effective,Advanced
Photoshop Basics,edX,Effective,Advanced
Web Design,Skillshare,Very Ineffective,Advanced
Web Design,Coursera,Very Ineffective,Advanced
Digital Painting,edX,Very Effective,Beginner
Advanced Illustrator,LinkedIn Learning,Very Effective,Advanced
Photoshop Basics,edX,Effective,Advanced
Digital Painting,LinkedIn Learning,Ineffective,Advanced
3D Modeling,Skillshare,Very Effective,Intermediate
Digital Painting,edX,Ineffective,Beginner
Digital Painting,LinkedIn Learning,Neutral,Beginner
Advanced Illustrator,Skillshare,Very Ineffective,Beginner
3D Modeling,Coursera,Ineffective,Advanced
Digital Painting,LinkedIn Learning,Very Ineffective,Advanced
Photoshop Basics,Coursera,Ineffective,Intermediate
Photoshop Basics,Coursera,Neutral,Beginner
Web Design,Udemy,Very Effective,Advanced
3D Modeling,edX,Neutral,Beginner
3D Modeling,LinkedIn Learning,Very Effective,Intermediate
Web Design,Coursera,Very Effective,Intermediate
Digital Painting,Udemy,Very Ineffective,Intermediate
3D Modeling,Skillshare,Neutral,Beginner
Photoshop Basics,LinkedIn Learning,Ineffective,Advanced
Photoshop Basics,Coursera,Neutral,Advanced
Advanced Illustrator,edX,Very Ineffective,Intermediate
3D Modeling,Udemy,Very Effective,Advanced
Digital Painting,Coursera,Very Ineffective,Intermediate
Web Design,edX,Effective,Beginner
Web Design,Coursera,Effective,Intermediate
Digital Painting,LinkedIn Learning,Ineffective,Beginner
Advanced Illustrator,LinkedIn Learning,Very Ineffective,Intermediate
Web Design,LinkedIn Learning,Ineffective,Advanced
3D Modeling,Udemy,Ineffective,Advanced
Advanced Illustrator,LinkedIn Learning,Effective,Intermediate
3D Modeling,edX,Ineffective,Advanced
Photoshop Basics,Coursera,Effective,Advanced
Advanced Illustrator,Skillshare,Very Effective,Advanced
Web Design,edX,Very Ineffective,Beginner
Advanced Illustrator,edX,Ineffective,Advanced
Advanced Illustrator,LinkedIn Learning,Effective,Beginner
Advanced Illustrator,Udemy,Neutral,Intermediate
Advanced Illustrator,Coursera,Ineffective,Advanced
3D Modeling,Udemy,Very Effective,Advanced
Photoshop Basics,Coursera,Very Effective,Advanced
Digital Painting,Coursera,Neutral,Intermediate
Advanced Illustrator,Udemy,Effective,Beginner
Web Design,edX,Ineffective,Beginner
Advanced Illustrator,Coursera,Effective,Advanced
Web Design,Udemy,Very Effective,Intermediate
3D Modeling,Coursera,Effective,Intermediate
Web Design,Skillshare,Very Effective,Intermediate
Digital Painting,edX,Effective,Intermediate
Photoshop Basics,LinkedIn Learning,Neutral,Intermediate
Web Design,Coursera,Very Ineffective,Beginner
Web Design,Skillshare,Neutral,Beginner
Photoshop Basics,LinkedIn Learning,Neutral,Beginner
Digital Painting,LinkedIn Learning,Very Ineffective,Advanced
Advanced Illustrator,Coursera,Very Ineffective,Intermediate
Web Design,Udemy,Ineffective,Advanced
Photoshop Basics,Coursera,Ineffective,Intermediate
3D Modeling,Skillshare,Neutral,Beginner
Photoshop Basics,LinkedIn Learning,Neutral,Advanced
3D Modeling,Coursera,Very Effective,Beginner
Digital Painting,Udemy,Very Effective,Intermediate
Advanced Illustrator,Coursera,Ineffective,Intermediate
Photoshop Basics,edX,Ineffective,Intermediate
Web Design,Udemy,Very Effective,Beginner
Digital Painting,Skillshare,Very Effective,Intermediate
Photoshop Basics,LinkedIn Learning,Effective,Beginner
Web Design,Coursera,Effective,Advanced
Photoshop Basics,Udemy,Very Effective,Intermediate
3D Modeling,edX,Effective,Intermediate
Photoshop Basics,Udemy,Very Ineffective,Intermediate
Photoshop Basics,edX,Ineffective,Advanced
Photoshop Basics,Skillshare,Ineffective,Intermediate
Digital Painting,LinkedIn Learning,Very Effective,Beginner
Photoshop Basics,Skillshare,Neutral,Beginner
Web Design,Coursera,Very Effective,Intermediate
3D Modeling,Udemy,Effective,Intermediate
3D Modeling,edX,Neutral,Advanced
Photoshop Basics,edX,Effective,Advanced
Digital Painting,Udemy,Very Ineffective,Advanced
Digital Painting,Udemy,Effective,Intermediate
Web Design,Coursera,Very Ineffective,Advanced
Photoshop Basics,Skillshare,Very Ineffective,Advanced
3D Modeling,edX,Effective,Beginner
Digital Painting,Coursera,Effective,Advanced
Photoshop Basics,Skillshare,Very Ineffective,Beginner
Digital Painting,Coursera,Neutral,Beginner
Digital Painting,edX,Very Ineffective,Advanced
3D Modeling,Udemy,Ineffective,Beginner
Advanced Illustrator,Udemy,Very Ineffective,Intermediate
Web Design,Skillshare,Neutral,Intermediate
Web Design,LinkedIn Learning,Ineffective,Advanced
3D Modeling,Skillshare,Very Effective,Intermediate
Digital Painting,LinkedIn Learning,Very Effective,Beginner
Photoshop Basics,Coursera,Neutral,Intermediate
Digital Painting,Coursera,Very Ineffective,Advanced
3D Modeling,edX,Effective,Advanced
Web Design,LinkedIn Learning,Neutral,Beginner
Digital Painting,edX,Ineffective,Advanced
Web Design,Udemy,Ineffective,Intermediate
Photoshop Basics,LinkedIn Learning,Very Effective,Advanced
Web Design,Skillshare,Ineffective,Beginner
Web Design,Udemy,Neutral,Advanced
Advanced Illustrator,Udemy,Ineffective,Intermediate
Advanced Illustrator,Skillshare,Neutral,Beginner
Advanced Illustrator,Udemy,Effective,Intermediate
Web Design,LinkedIn Learning,Very Effective,Beginner
3D Modeling,edX,Ineffective,Advanced
Web Design,Udemy,Neutral,Beginner
3D Modeling,LinkedIn Learning,Very Ineffective,Beginner
3D Modeling,Coursera,Very Effective,Advanced
Advanced Illustrator,LinkedIn Learning,Effective,Intermediate
Digital Painting,edX,Neutral,Advanced
Photoshop Basics,LinkedIn Learning,Effective,Beginner
Advanced Illustrator,Skillshare,Effective,Advanced
Advanced Illustrator,edX,Ineffective,Beginner
Digital Painting,Coursera,Ineffective,Advanced
Photoshop Basics,Skillshare,Neutral,Advanced
Web Design,LinkedIn Learning,Very Ineffective,Intermediate
Web Design,edX,Neutral,Beginner
Advanced Illustrator,Coursera,Very Ineffective,Intermediate
Photoshop Basics,Skillshare,Effective,Beginner
Advanced Illustrator,Coursera,Very Effective,Advanced
3D Modeling,LinkedIn Learning,Neutral,Beginner
Advanced Illustrator,Coursera,Neutral,Intermediate
Advanced Illustrator,Udemy,Very Ineffective,Intermediate
Web Design,Skillshare,Effective,Intermediate
Web Design,Coursera,Effective,Beginner
Web Design,LinkedIn Learning,Very Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Effective,Intermediate
Web Design,Coursera,Ineffective,Intermediate
Photoshop Basics,LinkedIn Learning,Very Effective,Advanced
Digital Painting,edX,Neutral,Advanced
Photoshop Basics,edX,Very Effective,Beginner
Photoshop Basics,edX,Neutral,Beginner
Web Design,Udemy,Ineffective,Intermediate
Digital Painting,Coursera,Effective,Advanced
Digital Painting,Udemy,Very Ineffective,Intermediate
Digital Painting,LinkedIn Learning,Ineffective,Intermediate
