brand,name,price,spec_score,user_votes,user_rating,os,utility: Business,utility: Everyday Use,utility: Performance,utility: Gaming,thickness_mm,weight_kg,warranty,screen_size,resolution_WIDTH,resolution_HEIGHT,resolution_category,ppi_num,ppi_category,battery_Wh,aspect_ratio,touch_screen,anti_glare,processor_gen,processor_brand,processor_core,base_processor_speed_GHz,turbo_processor_speed_GHz,no_cores,cache_memory_mb,graphics_brand,rom_capacity_gb,internal_memory_gb
wings,Nuvobook V1,24990.0,51.0,1369.0,4.2, windows 11,0,0,0,0,,1.6,1.0,15.6,1920.0,1080.0,Average,141.0,Average,17.85,,0,1,11.0,intel,Core i5,2.4,4.2,4.0,8.0,intel,8.0,512.0
dell,Inspiron 3520 D560896WIN9B,33990.0,56.0,1492.0,4.2, windows 11,0,0,0,0,21.0,1.65,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
lenovo,V15 82KDA01BIH,26749.0,57.0,772.0,4.1, windows 11,0,0,1,0,19.9,1.74,1.0,15.6,1080.0,1920.0,Average,147.0,High,,,0,1,5.0,amd,Ryzen 3,2.6,3.8,4.0,4.0,amd,8.0,512.0
hp,Victus 15-fa1099TX,58990.0,64.0,107.0,4.3, windows 11,0,0,0,1,22.5,2.37,1.0,16.1,1080.0,1920.0,Average,141.0,Average,,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,nvidia,16.0,512.0
samsung,Galaxy Book 4 NP750XGK-KS2IN,79990.0,55.0,98.0,4.5, windows 11,0,0,0,0,15.4,1.55,1.0,15.6,1080.0,1920.0,Average,141.0,Average,54.0,,0,1,,intel,Core 5,1.4,5.0,10.0,12.0,intel,16.0,512.0
samsung,Galaxy Book 4 NP750XGK-KS1IN,74990.0,53.0,70.0,4.7, windows 11,0,0,0,0,15.4,1.55,1.0,15.6,1080.0,1920.0,Average,141.0,Average,54.0,,0,1,,intel,Core 5,1.4,5.0,10.0,12.0,intel,8.0,512.0
hp,14s-dq5138tu,39990.0,55.0,63.0,4.8, windows 11,0,0,1,0,17.9,1.46,1.0,14.0,1080.0,1920.0,Average,157.0,High,41.0,,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
zebronics,ZEB-NBC 5S 2023,43990.0,66.0,212.0,4.1, windows 11,0,0,1,0,19.9,1.76,1.0,15.6,1080.0,1920.0,Average,141.0,Average,38.5,16:9,0,0,12.0,intel,Core i7,1.7,4.7,10.0,12.0,intel,16.0,1024.0
asus,TUF Gaming F15 FX506HE-HN385WS Gaming,74990.0,71.0,312.0,4.3, windows 11,0,0,0,0,22.8,2.2,1.0,15.6,1080.0,1920.0,Average,141.0,Average,90.0,16:9,0,1,11.0,intel,Core i7,2.3,4.6,8.0,24.0,nvidia,16.0,1024.0
hp,Victus 15-fb1017AX Gaming,56490.0,69.0,78.0,4.2, windows 11,0,0,0,1,22.5,2.37,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,7.0,amd,Ryzen 5,3.3,4.55,6.0,16.0,nvidia,16.0,512.0
lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming,59990.0,64.0,248.0,4.3, windows 11,0,0,0,1,25.2,2.4,1.0,15.6,1080.0,1920.0,Average,184.0,High,60.0,16:10,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,nvidia,16.0,512.0
apple,MacBook Air 2024,114900.0,46.0,104.0,4.3, mac,0,0,1,0,11.3,1.24,1.0,13.6,1664.0,2560.0,Good,224.0,High,52.6,,0,0,3.0,apple,,,,8.0,,apple,8.0,256.0
infinix,Zerobook 2023,74990.0,68.0,544.0,4.0, windows 11,0,0,1,0,16.95,1.8,1.0,15.6,1080.0,1920.0,Average,141.0,Average,70.0,16:9,0,1,13.0,intel,Core i9,2.6,5.4,14.0,24.0,intel,32.0,1024.0
asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming,99990.0,74.0,344.0,4.4, windows 11,0,0,1,0,22.4,2.2,1.0,15.6,1080.0,1920.0,Average,141.0,Average,90.0,16:9,0,1,12.0,intel,Core i7,2.3,4.7,14.0,24.0,nvidia,16.0,512.0
asus,TUF F15 FX506HF-HN024W Gaming,49990.0,64.0,1205.0,4.4, windows 11,0,0,0,0,24.5,2.3,1.0,15.6,1080.0,1920.0,Average,141.0,Average,90.0,16:9,0,1,11.0,intel,Core i5,2.2,4.5,6.0,12.0,nvidia,8.0,512.0
samsung,Galaxy Book2 NP550XED-KA1IN 15,42990.0,54.0,2534.0,4.3, windows 11,0,0,0,0,18.5,1.8,1.0,15.6,1080.0,1920.0,Average,141.0,Average,43.0,,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
lenovo,IdeaPad Slim 3 83EQ0044IN,55390.0,57.0,84.0,4.4, windows 11,1,0,0,0,17.9,1.37,1.0,14.0,1080.0,1920.0,Average,157.0,High,47.0,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,intel,16.0,512.0
colorful,Evol P15 Gaming,89999.0,70.0,65.0,4.6, windows 11,0,0,1,0,,,1.0,15.6,1440.0,2560.0,Good,188.0,High,,16:9,0,1,12.0,intel,Core i7,2.3,4.7,10.0,24.0,nvidia,16.0,512.0
dell,15 G15-5530 Gaming,79990.0,68.0,108.0,4.1, windows 11,0,0,0,1,26.9,2.65,1.0,15.6,1080.0,1920.0,Average,141.0,Average,56.0,,0,1,13.0,intel,Core i5,,4.6,10.0,20.0,nvidia,16.0,1024.0
asus,ROG Flow X13 GV301RC-LJ132WS Gaming,84990.0,74.0,93.0,4.6, windows 11,0,0,0,0,16.9,1.3,1.0,13.4,1200.0,1920.0,Good,169.0,High,62.0,,1,0,6.0,amd,Ryzen 9,3.3,4.9,8.0,16.0,nvidia,16.0,512.0
lenovo,IdeaPad Slim 3 83ER008GIN,54990.0,57.0,323.0,4.1, windows 11,1,0,0,0,19.9,1.62,1.0,15.6,1080.0,1920.0,Average,134.0,Low,47.0,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,intel,16.0,512.0
lenovo,ThinkBook 15 G5 21JF002JIN,33790.0,62.0,189.0,4.1, windows 11,0,0,1,0,18.9,1.7,1.0,15.6,1080.0,1920.0,Average,141.0,Average,45.0,,0,1,7.0,amd,Ryzen 3,2.3,4.3,4.0,8.0,amd,8.0,512.0
zebronics,Pro Series Z ZEB-NBC 3S 2023,27990.0,61.0,189.0,4.1, windows 11,0,0,1,0,19.9,1.76,1.0,15.6,1080.0,1920.0,Average,141.0,Average,38.5,16:9,0,0,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
lenovo,ThinkBook 15 G5 21JFA00BIN,44990.0,65.0,102.0,4.3, windows 11,0,0,1,0,18.9,1.7,1.0,15.6,1080.0,1920.0,Average,141.0,Average,45.0,,0,1,7.0,amd,Ryzen 7,2.0,4.5,8.0,16.0,amd,8.0,512.0
hp,Victus 15-fa1128TX Gaming,65990.0,64.0,90.0,4.6, windows 11,0,0,0,1,23.5,2.29,1.0,15.6,1080.0,1920.0,Average,141.0,Average,52.5,,0,1,13.0,intel,Core i5,,4.6,8.0,12.0,nvidia,16.0,512.0
acer,Nitro V ANV15-51 2023 Gaming,77990.0,59.0,456.0,4.2, windows 11,0,0,0,1,25.9,2.6,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,13.0,intel,Core i5,,4.6,8.0,12.0,nvidia,16.0,512.0
hp,Omen 16-xf0060AX Gaming,120900.0,78.0,154.0,4.7, windows 11,0,0,0,0,13.5,2.37,1.0,16.0,1080.0,1920.0,Bad,141.0,Low,83.0,16:9,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,1024.0
hp,255 G9 840T7PA,19979.0,44.0,1110.0,3.9, dos,0,1,0,0,17.9,1.47,1.0,15.6,768.0,1366.0,Bad,100.0,Lowest,41.0,16:9,0,1,,amd,Athlon,2.3,3.2,2.0,4.0,amd,4.0,256.0
acer,One 14 Z8-415 ‎2023,33990.0,55.0,2026.0,3.7, windows 11,0,1,0,0,21.6,1.49,1.0,14.0,1080.0,1920.0,Average,135.0,Low,45.5,,0,0,11.0,intel,Core i5,2.4,4.2,4.0,8.0,intel,16.0,512.0
asus,TUF Gaming A15 FA577NU-LP082W Gaming,89990.0,73.0,144.0,4.1, windows 11,0,0,0,1,24.9,2.2,1.0,15.6,1080.0,1920.0,Average,141.0,Average,90.0,16:9,0,1,7.0,amd,Ryzen 7,3.2,4.75,8.0,16.0,nvidia,16.0,512.0
asus,TUF Gaming F15 FX506HF-HN025W Gaming,52990.0,66.0,308.0,4.1, windows 11,0,0,0,0,24.5,2.3,1.0,15.6,1080.0,1920.0,Average,141.0,Average,48.0,16:9,0,1,11.0,intel,Core i5,2.2,4.5,6.0,12.0,nvidia,16.0,512.0
hp,255 G8 689T4PA,25680.0,55.0,342.0,4.2, windows 11,0,1,0,0,19.9,1.74,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,,amd,Ryzen,2.6,3.5,2.0,4.0,amd,8.0,512.0
msi,Modern 14 C7M-062IN,37990.0,59.0,1160.0,4.3, windows 11,0,0,1,0,19.35,1.4,1.0,14.0,1080.0,1920.0,Average,157.0,High,39.3,,0,0,7.0,amd,Ryzen 5,2.0,4.5,6.0,16.0,amd,16.0,512.0
dell,Inspiron 5420,69999.0,62.0,103.0,4.4, windows 11,0,0,1,0,15.7,1.54,1.0,14.0,1080.0,1920.0,Average,157.0,Average,,16:10,0,1,12.0,intel,Core i5,1.7,4.4,12.0,12.0,intel,16.0,512.0
asus,TUF Gaming F15 FX506HC-HN362WS Gaming,59990.0,66.0,2240.0,4.5, windows 11,0,0,0,0,24.5,2.3,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,11.0,intel,Core i5,2.2,4.5,6.0,12.0,nvidia,16.0,512.0
asus,Vivobook 16X 2022 M1603QA-MB502WS,46990.0,62.0,1220.0,4.2, windows 11,0,0,0,1,20.0,1.8,1.0,16.0,1200.0,1920.0,Good,283.0,Highest,50.0,16:10,0,1,5.0,amd,Ryzen 5,3.3,4.2,6.0,16.0,amd,8.0,512.0
samsung,Galaxy Book2 Pro 360 13,72990.0,63.0,182.0,4.0, windows 11,0,1,0,0,11.5,1.04,1.0,13.3,1920.0,1080.0,Average,166.0,High,,,1,0,12.0,intel,Core i5,1.7,4.4,12.0,12.0,intel,16.0,512.0
iball,Excelance CompBook,8000.0,35.0,1743.0,3.8, windows 10,0,1,0,0,24.0,1.0,1.0,11.6,768.0,1366.0,Best,135.0,Highest,,16:9,0,0,,intel,Atom,1.33,1.83,4.0,2.0,intel,2.0,32.0
apple,MacBook Air 2024 MXCT3HN/A,154900.0,52.0,76.0,4.1, mac,0,0,1,0,11.3,1.24,1.0,13.6,1664.0,2560.0,Good,224.0,High,52.6,,0,0,3.0,apple,,,,8.0,,apple,16.0,512.0
apple,MacBook Air 2024 MRYN3HN/A,154900.0,56.0,84.0,4.2, mac,0,0,1,0,11.5,1.51,1.0,15.3,1864.0,2880.0,Good,224.0,High,66.5,,0,0,3.0,apple,,,,8.0,16.0,,8.0,512.0
apple,MacBook Air 15 2024 MRYR3HN/A,134225.0,54.0,67.0,4.1, mac,0,0,1,0,11.5,1.51,1.0,15.3,1864.0,2880.0,Good,224.0,High,66.5,,0,0,3.0,apple,,,,8.0,16.0,,8.0,256.0
hp,Spectre x360 14-ef2035TU,146990.0,72.0,65.0,4.3, windows 11,0,0,0,0,16.9,1.36,1.0,13.5,2000.0,3000.0,Good,267.0,High,66.0,,1,0,13.0,intel,Core i7,,5.0,10.0,12.0,intel,32.0,1024.0
lenovo,Thinkpad E16 21JN004GIG,63490.0,59.0,67.0,4.3, windows 11,0,0,1,0,19.85,1.77,,16.0,1080.0,1920.0,Average,141.0,Average,47.0,,0,1,13.0,intel,Core i5,,4.6,10.0,12.0,intel,8.0,512.0
hp,Omen 14-fb0007TX Gaming,191668.0,77.0,105.0,4.7, windows 11,0,0,1,0,16.9,1.75,1.0,14.0,1800.0,2880.0,Average,243.0,High,71.0,,0,1,,intel,Core Ultra 7,1.4,4.8,16.0,24.0,nvidia,16.0,1024.0
lenovo,IdeaPad Slim 5 ‎16IMH9 83DC0042IN,75990.0,48.0,55.0,4.1, windows 11,0,0,0,0,,,1.0,16.0,1200.0,1920.0,Good,142.0,Average,57.0,16:9,0,1,,intel,Core Ultra 5,1.2,4.5,14.0,18.0,intel,16.0,1024.0
asus,ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming,329990.0,92.0,102.0,4.2, windows 11,0,0,0,1,30.4,2.65,1.0,16.0,1600.0,2560.0,Average,189.0,Average,90.0,16:10,0,1,14.0,intel,Core i9,2.2,5.8,24.0,36.0,nvidia,32.0,2048.0
lenovo,ThinkBook 15 G5 20VG0008UK,49990.0,65.0,61.0,4.4, windows 11,0,0,1,0,18.9,1.7,1.0,15.6,1080.0,1920.0,Average,141.0,Average,45.0,,0,1,7.0,amd,Ryzen 7,2.0,4.5,8.0,16.0,amd,16.0,512.0
honor,MagicBook X16 2024,46990.0,54.0,338.0,4.2, windows 11,0,1,0,0,17.9,1.68,1.0,16.0,1200.0,1920.0,Good,142.0,High,,16:9,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,intel,16.0,512.0
hp,Omen 16-xf0081AX Gaming,135999.0,83.0,71.0,4.4, windows 11,0,0,0,0,13.5,2.37,1.0,16.0,2560.0,1440.0,Average,184.0,High,83.0,16:9,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,32.0,1024.0
infinix,INBook Y4 Max Series,43990.0,53.0,121.0,4.5, windows 11,0,0,0,0,17.95,1.78,1.0,16.0,1200.0,1920.0,Good,142.0,High,70.0,16:10,0,1,13.0,intel,Core i5,,4.6,10.0,12.0,intel,16.0,512.0
asus,TUF Gaming F17 FX706HF-HX044WS,51990.0,59.0,56.0,4.2, windows 11,0,0,0,1,,2.6,1.0,17.0,1080.0,1920.0,Average,127.0,Low,48.0,16:9,0,1,11.0,intel,Core i5,2.2,4.5,6.0,12.0,nvidia,8.0,512.0
infinix,INBook Y4 Max Series YL613,36990.0,54.0,122.0,4.5, windows 11,0,0,0,0,17.95,1.78,1.0,16.0,1200.0,1920.0,Good,142.0,High,70.0,16:10,0,1,13.0,intel,Core i3,1.2,4.5,6.0,10.0,intel,16.0,512.0
acer,Aspire Lite 15 AL15-52,34880.0,56.0,119.0,4.3, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,16.0,512.0
hp,Omen 16-wf1025TX Gaming,137990.0,79.0,63.0,4.2, windows 11,0,0,1,0,23.88,2.39,1.0,16.1,1080.0,1920.0,Bad,137.0,Low,83.0,,0,1,14.0,intel,Core i7,2.1,5.5,20.0,33.0,nvidia,16.0,1024.0
msi,Titan 18 HX Gaming,599990.0,87.0,72.0,4.2, windows 11,0,0,0,0,,,2.0,18.0,2400.0,3840.0,Best,252.0,Highest,,,0,1,14.0,intel,Core i9,,,,,,32.0,2048.0
lenovo,Legion Pro 5 161IRX9,149990.0,69.0,101.0,4.7, windows 11,0,0,0,1,,,1.0,16.0,1600.0,2560.0,Average,189.0,Average,80.0,,0,1,,intel,Core i9,,5.5,24.0,36.0,nvidia,32.0,1024.0
samsung,Galaxy Book 4 Pro 360,199990.0,72.0,60.0,4.4, windows 11,0,1,0,0,12.8,1.66,1.0,16.0,1800.0,2880.0,Average,212.0,Average,76.0,,1,0,,intel,Core Ultra 7,1.4,4.8,16.0,24.0,intel,16.0,512.0
xiaomi,Redmi Book 16 2024,52990.0,57.0,56.0,4.2, windows 11,0,0,0,0,15.9,1.68,1.0,16.0,1600.0,2560.0,Good,189.0,High,72.0,16:10,0,1,13.0,intel,Core i5,,4.7,12.0,18.0,intel,16.0,512.0
hp,Pavilion 15-eg3032TU,84700.0,64.0,81.0,4.7, windows 11,0,0,1,0,17.9,1.75,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,13.0,intel,Core i7,2.2,5.0,12.0,18.0,intel,16.0,512.0
hp,Victus 15-fa1145TX Gaming,62990.0,68.0,416.0,4.3, windows 11,0,0,0,1,22.5,2.37,1.0,15.6,1080.0,1920.0,Average,141.0,Average,52.5,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,nvidia,16.0,1024.0
apple,MacBook Pro 16 2023,399900.0,65.0,103.0,4.7, mac,0,0,1,0,16.8,2.16,1.0,16.2,2234.0,3456.0,Good,254.0,High,100.0,,0,0,3.0,apple,,,,16.0,,,48.0,1024.0
apple,MacBook Pro 14 2023,186899.0,54.0,92.0,4.8, mac,0,0,1,0,15.5,1.61,1.0,14.2,1964.0,3024.0,Good,254.0,High,,,0,0,3.0,apple,,,,11.0,,,18.0,512.0
lenovo,V15 G4,24790.0,44.0,136.0,4.4, windows 11,0,0,1,0,,,1.0,15.6,1080.0,1920.0,Average,147.0,High,,,0,1,,amd,Athlon,2.4,3.5,2.0,2.0,amd,8.0,512.0
dell,Inspiron 3530,69990.0,53.0,76.0,4.3, windows 11,1,0,0,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,13.0,intel,Core i7,,5.0,10.0,12.0,intel,16.0,512.0
asus,Vivobook 15 X1502ZA-EJ385WS,41990.0,53.0,141.0,4.2, windows 11,0,0,1,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,12.0,intel,Core i3,1.5,4.4,10.0,12.0,intel,8.0,512.0
dell,G15-5530 15 2023 Gaming,99990.0,70.0,56.0,4.6, windows 11,0,0,0,1,26.9,2.65,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,13.0,intel,Core i7,,4.9,14.0,24.0,nvidia,16.0,1024.0
hp,15s-fq5185TU,35900.0,55.0,121.0,4.5, windows 11,0,0,1,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
lenovo,Yoga Slim 6 14IAP8 82WU0095IN,64690.0,62.0,1044.0,4.2, windows 11,0,0,1,0,14.9,1.35,1.0,14.0,1400.0,2240.0,Good,189.0,High,65.0,,0,1,12.0,intel,Core i5,1.7,4.4,12.0,12.0,intel,16.0,512.0
zebronics,Pro Series Y ZEB-NBC 1S,23990.0,51.0,190.0,3.9, windows 11,0,0,1,0,20.0,1.65,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,0,11.0,intel,Core i3,,3.7,4.0,8.0,intel,8.0,512.0
asus,TUF Gaming F17 FX707ZC4-HX048WS Gaming,71990.0,66.0,112.0,4.2, windows 11,0,0,0,1,25.4,2.6,1.0,17.3,1080.0,1920.0,Average,127.0,Low,90.0,,0,1,12.0,intel,Core i5,2.5,4.5,12.0,18.0,nvidia,8.0,512.0
msi,Bravo 15 B7ED-012IN Gaming,49990.0,61.0,80.0,4.2, windows 11,0,0,0,1,24.95,2.35,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,0,7.0,amd,Ryzen 5,3.3,4.55,6.0,16.0,amd,8.0,512.0
lenovo,IdeaPad Slim 3 82RK00VWIN,35091.0,54.0,906.0,4.1, windows 11,0,0,1,0,19.9,1.63,1.0,15.6,1080.0,1920.0,Average,157.0,High,45.0,16:9,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
chuwi,FreeBook,27990.0,44.0,257.0,4.1, windows 11,0,0,0,0,,,1.0,13.5,1504.0,2256.0,Best,201.0,High,,,1,0,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,12.0,512.0
hp,Victus 16-s0095AX Gaming,79990.0,72.0,277.0,4.3, windows 11,0,0,0,1,22.9,2.31,1.0,16.1,1080.0,1920.0,Average,137.0,Low,70.0,16:9,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,512.0
hp,15S-FQ5202TU,48490.0,53.0,2425.0,4.1, windows 11,0,1,0,0,242.0,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming,53990.0,66.0,1246.0,4.3, windows 11,0,0,0,1,19.9,2.1,1.0,15.6,1080.0,1920.0,Average,141.0,Average,50.0,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,nvidia,16.0,512.0
asus,TUF Gaming F15 FX506HE-HN382W Gaming,69990.0,66.0,313.0,4.4, windows 11,0,0,0,0,,2.3,1.0,15.6,1080.0,1920.0,Average,141.0,Average,90.0,,0,1,11.0,intel,Core i7,2.3,4.6,8.0,24.0,nvidia,16.0,512.0
asus,TUF Gaming F15  FX506HF-HN075W Gaming,49990.0,62.0,3769.0,4.3, windows 11,0,0,0,1,22.8,2.3,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,11.0,intel,Core i5,2.1,4.4,6.0,12.0,nvidia,8.0,512.0
hp,Victus 15-fb0150AX Gaming,53999.0,68.0,339.0,4.0, windows 11,0,0,0,1,23.5,2.29,1.0,15.6,1080.0,1920.0,Average,141.0,Average,52.5,,0,1,5.0,amd,Ryzen 5,3.3,4.2,6.0,16.0,amd,16.0,512.0
asus,TUF Gaming F15 FX577ZC-HN192W Gaming,84990.0,72.0,122.0,4.3, windows 11,0,0,1,0,25.0,2.2,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,12.0,intel,Core i7,3.0,4.7,14.0,24.0,nvidia,16.0,1024.0
msi,Thin GF63 11UC-1490IN Gaming,52990.0,69.0,428.0,4.3, windows 11,0,0,1,0,21.7,1.86,2.0,15.6,1080.0,1920.0,Average,141.0,Average,52.4,,0,1,11.0,intel,Core i5,2.1,4.4,6.0,12.0,nvidia,16.0,1024.0
msi,Thin GF63 11SC-1494IN Gaming,41990.0,60.0,877.0,4.3, windows 11,0,0,1,0,1.86,,2.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,11.0,intel,Core i5,2.1,4.4,6.0,12.0,nvidia,8.0,512.0
lenovo,LOQ 15APH8 82XT004HIN 2023 Gaming,79990.0,70.0,108.0,4.4, windows 11,0,0,0,1,22.1,2.4,1.0,15.6,1080.0,1920.0,Average,184.0,High,60.0,16:10,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,512.0
asus,Vivobook Go 15 E510MA-EJ001W,19990.0,43.0,1192.0,4.1, windows 11,0,0,1,0,17.9,1.57,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,,intel,Celeron,1.1,2.8,2.0,4.0,intel,4.0,256.0
acer,Aspire Lite AL15,35790.0,56.0,456.0,3.9, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,5.0,amd,Ryzen 5,2.1,4.0,6.0,8.0,amd,16.0,512.0
asus,TUF Gaming F17 FX707ZC4-HX067W Gaming,73990.0,70.0,140.0,4.4, windows 11,0,0,0,1,25.4,2.6,1.0,17.3,1080.0,1920.0,Average,127.0,Low,90.0,,0,1,12.0,intel,Core i5,2.5,4.5,12.0,18.0,nvidia,16.0,512.0
walker,NU14A1,12990.0,33.0,539.0,3.9, windows 11,0,0,1,0,,,1.0,14.1,1080.0,1920.0,Best,156.0,High,18.5,16:9,0,1,,intel,Celeron,1.1,2.8,2.0,4.0,intel,4.0,128.0
hp,Omen 16-wd0880TX Gaming,89990.0,64.0,99.0,4.3, windows 11,0,0,0,1,23.9,2.32,1.0,16.1,1080.0,1920.0,Average,137.0,Low,,,0,1,13.0,intel,Core i5,,4.6,8.0,12.0,nvidia,16.0,512.0
