Cell_Type,Gene,Metabolite,Metabolite_Production,Gene_Expression,Treatment_Effectiveness
Treated Healthy Cells,Gene_E,Glutamate,70.27936568313332,79.57066850948375,10.610485571540762
Treated Healthy Cells,Gene_D,Lactate,28.900249297387905,33.57865835028362,38.69395410337545
Healthy Cells,Gene_B,Glucose,0.3233530017637596,0.31742981845032103,45.86536164091378
Healthy Cells,Gene_A,Glucose,112.07679328538043,95.95725876290658,62.838505221750495
Healthy Cells,Gene_C,ATP,70.86052622976919,59.212323635101846,70.75313013009391
Treated Healthy Cells,Gene_A,ATP,74.97932686368365,81.95179187100712,88.92777088335995
Treated Healthy Cells,Gene_C,Glutamate,89.04391616946447,82.53015623427146,28.89535655280361
Cancerous Cells,Gene_C,Glucose,6.8989748386350165,6.641042037273282,52.860782269192896
Cancerous Cells,Gene_B,Glucose,17.010404847586397,17.08601993864648,36.60407068030652
Treated Healthy Cells,Gene_B,Glucose,33.17503020842097,31.11206807596474,0.14216720309900843
Healthy Cells,Gene_A,Glucose,30.41977699041364,32.069928504132285,57.943182271992754
Healthy Cells,Gene_C,Pyruvate,77.59142774217479,65.87861176809129,81.57960756711387
Cancerous Cells,Gene_A,Lactate,67.43417019523575,62.31329207526848,3.643948610339409
Treated Healthy Cells,Gene_D,Lactate,54.48798826731719,49.45897780098137,0.3491758602970241
Cancerous Cells,Gene_A,Glutamate,18.94969844810519,21.126373230876794,72.78184065107381
Cancerous Cells,Gene_E,Pyruvate,33.134499120158814,38.19834696903034,68.38597250088331
Treated Cancerous Cells,Gene_A,Glucose,52.06196854304738,54.35939684651695,40.58521053350209
Treated Cancerous Cells,Gene_E,Glucose,51.79048943758972,46.798536610394194,66.16048816209097
Treated Cancerous Cells,Gene_E,ATP,14.963471024075861,12.729253309507838,95.33860725310008
Healthy Cells,Gene_E,ATP,63.06304772641266,64.95104935019238,24.786279655530365
Treated Healthy Cells,Gene_D,Glutamate,8.106283313731238,7.305177681066056,24.592659453158383
Treated Healthy Cells,Gene_A,Glucose,37.37180106901344,37.81946830810803,18.623220476421388
Treated Healthy Cells,Gene_A,Glutamate,65.18717667190495,71.0029347675229,72.39867499737504
Treated Healthy Cells,Gene_D,Pyruvate,2.1939908121675225,2.002353451970651,35.31892381713401
Treated Cancerous Cells,Gene_C,Lactate,63.797085623411846,56.99828190453161,98.86931339871306
Healthy Cells,Gene_B,Glucose,29.47585793273855,33.45209741432973,71.46489034571513
Healthy Cells,Gene_A,Pyruvate,0.8143558441970853,0.8831843422734464,36.73768866473846
Treated Cancerous Cells,Gene_B,Glucose,18.99855104110728,19.038327106097185,14.918603406346476
Healthy Cells,Gene_D,ATP,82.29597568889315,94.09461932706544,59.20248165277222
Treated Cancerous Cells,Gene_C,Glutamate,61.05435156805231,52.11489055050904,29.49032530964255
Treated Healthy Cells,Gene_C,ATP,103.36594695534504,99.72272046291317,90.55090812962867
Treated Cancerous Cells,Gene_C,Lactate,44.52972043573002,52.481675036474115,44.140439987647476
Treated Healthy Cells,Gene_D,ATP,47.51893475720714,54.39364122902683,29.264996453855417
Treated Healthy Cells,Gene_E,Glucose,46.30573999145458,39.18430129328524,58.85518145706807
Cancerous Cells,Gene_E,ATP,33.95771739466336,31.004041873141432,13.697450097106467
Treated Cancerous Cells,Gene_B,Glucose,27.513097578853735,25.15455531329448,56.15490728028784
Cancerous Cells,Gene_E,Lactate,28.469549763326846,34.342061613067386,5.611147851974019
Treated Cancerous Cells,Gene_E,ATP,53.25625200200897,45.98510809004321,60.68886817472075
Treated Cancerous Cells,Gene_C,Glutamate,18.76710072422293,19.199195023079007,53.01638439014289
Cancerous Cells,Gene_C,Glutamate,23.924167084234124,22.48750918056959,52.076598213897164
Cancerous Cells,Gene_B,Glutamate,32.147524973391526,27.154476866843915,68.41643870577806
Treated Cancerous Cells,Gene_A,ATP,37.73805340209645,44.925989193083915,4.445661442668469
Healthy Cells,Gene_B,ATP,64.8185301152469,65.2813366814243,45.973146463029614
Treated Healthy Cells,Gene_B,ATP,70.19072216283419,85.61461502862872,44.40386630403745
Cancerous Cells,Gene_D,Glucose,28.70796278126617,28.71318371871433,45.97824418424993
Treated Healthy Cells,Gene_D,Lactate,16.55215534029062,18.372834034143736,97.98909710653433
Healthy Cells,Gene_B,Glutamate,44.113991831169805,37.8847464850555,13.927847314426034
Healthy Cells,Gene_B,Glucose,85.80684382731076,89.43830763718557,69.04297570595925
Healthy Cells,Gene_B,Glutamate,1.0388760266078632,0.9860728337139468,40.19961373785564
Cancerous Cells,Gene_E,Glucose,77.55595878909728,67.78686160577453,51.17265243245136
Healthy Cells,Gene_D,ATP,56.94794182560792,47.71600464115815,76.23939058561962
Cancerous Cells,Gene_B,Glutamate,16.129225301465826,16.104621496068006,15.737544257348102
Healthy Cells,Gene_C,ATP,31.534043437314512,32.10215262744667,76.35852126364922
Treated Healthy Cells,Gene_C,Glutamate,18.677508971469486,22.49500438770339,7.03307826844396
Treated Healthy Cells,Gene_E,Pyruvate,70.67387960106326,87.78321678901223,48.3309511209833
Treated Cancerous Cells,Gene_E,Glucose,50.28449169420087,48.18733839449902,74.20708576995804
Treated Healthy Cells,Gene_A,Pyruvate,46.522046313758196,56.30942778724928,19.255145535469943
Treated Cancerous Cells,Gene_A,Glucose,56.52806017001435,59.36876193370206,77.09156460354234
Treated Healthy Cells,Gene_A,Lactate,51.26163949988757,63.96171246023561,16.681250692574324
Cancerous Cells,Gene_E,Glutamate,51.83963474960199,49.555569037592996,79.92387569371213
Treated Healthy Cells,Gene_E,Lactate,1.7340293064400436,1.787353083631582,46.89355729418375
Treated Cancerous Cells,Gene_E,Lactate,28.478484287445504,33.47226869146519,68.46383318631068
Treated Cancerous Cells,Gene_C,Glucose,16.889622150261157,18.38732407209912,91.74064583691884
Healthy Cells,Gene_E,Pyruvate,69.90945332468687,68.0142842911677,40.84215236137337
Cancerous Cells,Gene_C,ATP,6.025920212925928,5.6704651370046655,23.295752682277282
Treated Healthy Cells,Gene_A,Glucose,55.530932760404994,56.380339111164425,86.71640966176768
Healthy Cells,Gene_A,ATP,23.6241095123585,21.063172227430094,16.161664810477816
Treated Healthy Cells,Gene_A,Lactate,80.17521174616094,94.88458384670612,63.14760518374166
Treated Healthy Cells,Gene_B,ATP,27.978017431851196,33.55409421865355,92.32532880406146
Healthy Cells,Gene_B,Pyruvate,26.593262265229594,32.52211913746342,67.43967115353057
Healthy Cells,Gene_D,Glucose,93.6617819044663,92.33846679907238,19.56810854500153
Healthy Cells,Gene_D,Pyruvate,45.17760694493533,41.734792030414134,15.228395176323295
Healthy Cells,Gene_D,Pyruvate,82.05595230722604,96.28623341857421,25.230553110059105
Healthy Cells,Gene_B,Glucose,2.5513697976564873,2.417035213350349,39.14068328565784
Treated Healthy Cells,Gene_B,Pyruvate,30.35198044924953,30.63445752021463,15.91590318499031
Healthy Cells,Gene_D,Glutamate,79.60591503565253,66.61929602664311,79.78140664413176
Cancerous Cells,Gene_D,Glutamate,96.83521162940166,89.08569645276386,35.70353426088887
Treated Cancerous Cells,Gene_E,Glutamate,27.255641056540437,25.640559300828393,93.60867359127263
Healthy Cells,Gene_D,ATP,95.66983518270673,93.04775919636683,84.2490864035324
Healthy Cells,Gene_E,Pyruvate,71.23198365669528,59.41214664991882,90.88182628016865
Treated Healthy Cells,Gene_C,Glucose,95.49489457477368,80.1008243197916,29.449271500354
Healthy Cells,Gene_B,Glucose,40.326314680729645,39.72073043068972,57.37315438221901
Healthy Cells,Gene_D,ATP,20.83766967636801,21.218038256687333,32.144951804235745
Healthy Cells,Gene_B,Glucose,89.74265257872385,91.12354154476931,25.694851158084763
Treated Healthy Cells,Gene_B,Glutamate,90.63893540728107,93.31358684062187,60.708678120255065
Healthy Cells,Gene_B,Pyruvate,50.38243510060918,49.75751441541355,81.7995380599782
Treated Cancerous Cells,Gene_C,Glucose,0.5906786478044889,0.6495015999256504,9.359780612665425
Treated Healthy Cells,Gene_A,Glucose,12.852460695188423,10.978295367040447,27.576876136607144
Treated Cancerous Cells,Gene_D,Lactate,57.078858563512284,57.30279602317218,20.513418088612724
Treated Healthy Cells,Gene_A,Lactate,2.7029429472688675,2.377670230188622,79.83501731560642
Healthy Cells,Gene_A,Lactate,39.29910175854648,39.69119239866953,93.33720730922194
Treated Cancerous Cells,Gene_A,Pyruvate,32.98590289780326,30.33699455720126,7.994271018335897
Treated Healthy Cells,Gene_B,Glutamate,66.77390404569445,71.43482754022047,37.9213414707241
Cancerous Cells,Gene_E,Glutamate,5.8353312758981835,5.557867294793528,91.45090427186567
Healthy Cells,Gene_B,Glutamate,48.84128987647391,48.873126897728746,34.46382205462983
Treated Healthy Cells,Gene_B,Pyruvate,54.83318577538391,57.91142698756053,71.26614363137031
Cancerous Cells,Gene_A,Pyruvate,71.15035860403296,61.72910760526177,10.066638651934301
Treated Healthy Cells,Gene_B,Lactate,34.23925388102167,40.51576720169409,44.43875316121423
Cancerous Cells,Gene_A,Glucose,30.27757144854112,30.436778342955094,50.330077559162845
Healthy Cells,Gene_E,ATP,59.90566423809526,68.24930337371488,75.76640779850604
Treated Cancerous Cells,Gene_D,ATP,96.99766960928363,84.7569048102495,28.88246505798262
Cancerous Cells,Gene_A,Glucose,62.52184334791241,69.36176377828788,26.418857255052707
Treated Healthy Cells,Gene_E,Lactate,98.18506597140177,93.21023654572215,30.296767019583136
Healthy Cells,Gene_D,Glucose,62.13118884866503,71.72635253579271,55.56965087937408
Cancerous Cells,Gene_C,Glucose,73.55368181451345,76.46187340136183,87.60044134647508
Treated Healthy Cells,Gene_A,ATP,19.47245364963185,16.790319660208887,83.09413964613069
Treated Healthy Cells,Gene_A,Lactate,36.349996281053585,41.95396445267118,5.794565641100191
Treated Healthy Cells,Gene_C,Pyruvate,51.67189329859535,48.50553309559652,87.89551112920235
Cancerous Cells,Gene_C,ATP,22.60003736724172,25.629316229460763,9.510937421839182
Cancerous Cells,Gene_A,Pyruvate,51.07278667524743,52.853986035628786,41.53480693188697
Cancerous Cells,Gene_C,Lactate,29.5516369332057,29.079194422184752,76.54044392542212
Treated Cancerous Cells,Gene_B,Glucose,70.87614225214818,68.7502092804416,8.151103603394317
Cancerous Cells,Gene_D,Glutamate,48.95724370162472,47.02884767031759,4.039968027696683
Cancerous Cells,Gene_D,Glutamate,48.45242614262029,45.880695426903564,32.99958036107942
Cancerous Cells,Gene_D,Lactate,89.38433246803875,98.36425310328117,72.99256078573147
Treated Cancerous Cells,Gene_B,Glutamate,37.69617196909295,39.244484854257045,52.175643757211475
Cancerous Cells,Gene_C,Pyruvate,29.52444986170917,36.22954325895683,41.700187060968766
Treated Healthy Cells,Gene_E,Glutamate,35.28552302968967,31.86043712826544,81.30733175157218
Cancerous Cells,Gene_C,Lactate,101.5397027622578,89.4749220975798,76.67092621942446
Treated Healthy Cells,Gene_A,Lactate,43.69653198617258,49.672382609817824,78.60432097339645
Treated Healthy Cells,Gene_D,Pyruvate,52.83593000560709,60.001447748063555,45.97268239492019
Treated Healthy Cells,Gene_C,Glutamate,14.769516652463796,18.081847900239502,1.9449242492031282
Treated Cancerous Cells,Gene_E,Glutamate,64.27225740887299,54.09423600049269,17.213697349153023
Treated Cancerous Cells,Gene_A,Glucose,30.83954871912362,27.46481928684883,74.13004282766258
Treated Cancerous Cells,Gene_B,ATP,68.99267680746709,73.06369212628775,75.3173471749625
Cancerous Cells,Gene_B,Lactate,82.65035980403715,83.25283487923821,97.22986127013364
Treated Healthy Cells,Gene_E,Glucose,65.53289957939472,71.48106921312775,19.018652691019277
Treated Cancerous Cells,Gene_A,Lactate,75.8648902499126,73.02441662702573,12.292678815264502
Treated Cancerous Cells,Gene_D,Glucose,55.70207298448357,51.2474704119517,13.878963373601438
Cancerous Cells,Gene_C,ATP,69.71261134724011,71.21180563341353,18.47881150741403
Treated Cancerous Cells,Gene_A,Glucose,48.585228938259206,42.268693550816025,52.846833950787456
Cancerous Cells,Gene_B,Lactate,65.59260193556308,65.1489153529613,97.52114629741516
Healthy Cells,Gene_E,Glutamate,22.217826924809902,25.903921012051466,58.9431483000607
Treated Cancerous Cells,Gene_E,Lactate,7.316928471599375,6.975701231201015,52.26880656466428
Healthy Cells,Gene_C,Pyruvate,40.72266697984346,41.34732641219685,67.3356230383871
Cancerous Cells,Gene_E,Pyruvate,54.225165556422176,46.177815578049,7.393039075815655
Treated Healthy Cells,Gene_E,Pyruvate,24.531948918239227,25.640715818868998,81.53541341503657
Treated Cancerous Cells,Gene_A,Pyruvate,69.94353079336693,72.77095184072377,64.68795433192011
Cancerous Cells,Gene_D,ATP,7.798626099040505,7.355047897627919,17.11916795905252
Treated Healthy Cells,Gene_C,Glutamate,22.51527783446057,22.274832437918857,63.071542119943025
Treated Healthy Cells,Gene_A,Glutamate,71.09717616247228,74.85647184536268,59.62079625658703
Healthy Cells,Gene_D,Lactate,52.27611880402515,43.71242737400124,6.485298549480056
Cancerous Cells,Gene_A,Glucose,64.94774958812725,70.52836240393124,26.69321978457563
Treated Healthy Cells,Gene_A,Lactate,51.698617027881504,56.74858777835963,39.094162288928125
Treated Cancerous Cells,Gene_E,Lactate,108.92991471522689,95.07127499973625,24.488852947698014
Treated Cancerous Cells,Gene_D,Lactate,47.9043198817679,59.7795832722833,24.31616877954408
Healthy Cells,Gene_C,Lactate,1.3092150710995691,1.4868974345519703,57.29484736974183
Treated Healthy Cells,Gene_C,Glutamate,36.5643985590645,35.2877350504334,47.0859017060439
Cancerous Cells,Gene_D,Glucose,12.37446590989552,14.306068220470769,66.7292181728008
Treated Cancerous Cells,Gene_E,Lactate,110.43099446614238,92.46336775977032,95.64070871099169
Treated Healthy Cells,Gene_B,Glutamate,10.252281381064998,10.401245428508032,66.05560446012119
Treated Healthy Cells,Gene_A,Lactate,40.28061433758076,38.77066631310875,58.20959322825418
Healthy Cells,Gene_E,Pyruvate,19.538347935711478,22.609919362669217,84.75594916654977
Treated Cancerous Cells,Gene_D,Lactate,77.53867129363888,84.67219903967333,63.207311056703574
Treated Cancerous Cells,Gene_A,Lactate,32.271424468022815,30.856649758891695,16.5561270308801
Cancerous Cells,Gene_C,ATP,101.15541503548502,99.1893483142645,31.474869945846283
Treated Cancerous Cells,Gene_B,Pyruvate,4.300907374482894,3.8616605612250887,73.33602826844044
Cancerous Cells,Gene_C,Glucose,11.643596324499306,12.827677246256586,73.83823830270201
Treated Cancerous Cells,Gene_D,Lactate,23.843538441569095,22.463877642910912,98.70087503089592
Healthy Cells,Gene_A,Glucose,74.32896282654079,81.11060402001594,62.69748784023066
Treated Cancerous Cells,Gene_D,Pyruvate,90.90026768153572,87.85172090640158,89.95451880859055
Cancerous Cells,Gene_A,Lactate,7.445322366856306,7.1451380609422355,5.458031058952706
Cancerous Cells,Gene_E,ATP,2.755007934052372,3.2460141762276407,56.62223448106485
Healthy Cells,Gene_B,Glutamate,75.90409035220934,74.45568571045793,91.98480247021956
Treated Cancerous Cells,Gene_E,ATP,10.731840390533751,13.335200675361348,28.724423517819552
Treated Cancerous Cells,Gene_E,ATP,13.306299836349226,13.299858707463919,15.48766037942092
Healthy Cells,Gene_D,Glutamate,2.4133686548412197,2.236653449442927,35.051016009676026
Treated Cancerous Cells,Gene_B,Glutamate,4.129735952657746,4.980787758342187,79.22361672442688
Treated Cancerous Cells,Gene_A,Glutamate,30.994636887931357,26.367545859548912,8.470081468131562
Cancerous Cells,Gene_A,Lactate,6.393304267940076,6.5005489410806305,60.03386583690844
Treated Cancerous Cells,Gene_C,Glucose,43.35681306676142,36.88790916592756,13.563160584427647
Treated Cancerous Cells,Gene_A,Glucose,70.19955152391397,83.27750312273491,43.553244154724624
Healthy Cells,Gene_D,Glutamate,38.504518947384646,32.63202573215926,96.59770015516557
Healthy Cells,Gene_E,ATP,61.40582818300347,72.78341625793716,19.514426984688647
Treated Healthy Cells,Gene_E,Pyruvate,9.246359354571732,9.39099648310301,3.4016548846032335
Cancerous Cells,Gene_E,Glutamate,77.48956278540041,65.93751874194929,42.72033389780427
Treated Cancerous Cells,Gene_B,ATP,28.288161340358073,31.674718325743502,57.7695587690155
Treated Cancerous Cells,Gene_A,ATP,61.02343587713334,74.9752878697038,29.751773503139468
Treated Healthy Cells,Gene_D,Lactate,15.222678198199016,13.625201405638187,54.17680033766924
Treated Cancerous Cells,Gene_B,Lactate,93.23203075495204,89.78833777644819,95.34019462519872
Cancerous Cells,Gene_C,Glucose,24.39279885119502,24.25772028979366,31.177078741612043
Treated Healthy Cells,Gene_D,Glucose,28.736141341066233,35.31377932811765,30.94270311992908
Cancerous Cells,Gene_D,Pyruvate,100.8419669183817,95.01807108180417,48.27678978809543
Treated Healthy Cells,Gene_D,Pyruvate,50.24983204179282,57.84823597308589,51.53163358913544
Treated Healthy Cells,Gene_E,Pyruvate,42.88593048391355,36.5771518963022,0.13659258750852166
Healthy Cells,Gene_D,Pyruvate,102.01488316350228,94.96021470336316,61.58751312048398
Cancerous Cells,Gene_A,ATP,35.6329487723182,32.9077416890032,99.73573486647108
Treated Cancerous Cells,Gene_D,ATP,8.472259262687173,9.487071267517976,29.200804947045654
Treated Cancerous Cells,Gene_E,Glucose,114.86705038654378,99.68488878594198,63.08100462665291
Cancerous Cells,Gene_D,Lactate,27.188751152847786,26.784492055891384,0.46216550340066886
Treated Cancerous Cells,Gene_C,Lactate,97.28461323039313,85.12578486996074,60.43266122968982
Treated Cancerous Cells,Gene_C,Glutamate,15.037377999408717,16.554079482308726,44.70683094278179
Cancerous Cells,Gene_E,ATP,80.60871471819601,73.1353971777378,53.029315346467364
Treated Healthy Cells,Gene_A,Pyruvate,54.009202146112514,52.4449394472252,54.39049674923837
Cancerous Cells,Gene_A,Pyruvate,80.37231724790857,98.09065582901296,17.69529692998537
Treated Healthy Cells,Gene_B,Glutamate,53.18985013502824,55.28303560923995,76.99681218792904
Treated Cancerous Cells,Gene_E,Lactate,2.1852340800435743,2.5015151890854126,55.546962101033905
Treated Cancerous Cells,Gene_D,Pyruvate,56.98612013689879,60.38779896240879,27.019445949699417
Treated Cancerous Cells,Gene_E,Lactate,13.85360854782114,14.531645633662604,93.73815465654324
Healthy Cells,Gene_B,Glutamate,79.05326209139498,79.85409152820871,1.2773710004056027
Treated Healthy Cells,Gene_E,Lactate,89.09304379511362,85.6568196489899,72.59372139997892
Healthy Cells,Gene_E,Lactate,49.57806652941724,48.20935187947143,38.12351856571038
Healthy Cells,Gene_B,Lactate,63.87927275640637,78.32214570522986,52.25448313113069
Cancerous Cells,Gene_A,Pyruvate,15.966181423048802,14.511073548160514,29.15097494455816
Healthy Cells,Gene_D,Glucose,58.04916230526048,49.20781865356461,32.12521762633532
Cancerous Cells,Gene_B,ATP,37.00998093526869,39.394426469058466,1.5166214610901396
Cancerous Cells,Gene_C,Lactate,53.3006872065262,61.13173870530814,72.98450887119023
Healthy Cells,Gene_A,Lactate,4.518885163320179,4.447718880315998,71.07984108007184
Treated Healthy Cells,Gene_C,Lactate,81.37707155225566,75.21228382486274,65.43582004072222
Treated Healthy Cells,Gene_A,Glucose,8.479193634969057,7.912928947468368,87.79506805840079
Treated Healthy Cells,Gene_D,Glutamate,68.59102153188266,65.64715175301649,90.1267580558434
Treated Healthy Cells,Gene_D,Pyruvate,1.5845397095453113,1.8457225539944222,55.64443194252554
Treated Healthy Cells,Gene_E,Glucose,94.39683074487196,83.18880637567295,68.48234920670627
Healthy Cells,Gene_C,Lactate,16.950207600695908,17.46996302237813,1.0998401070459796
Healthy Cells,Gene_A,Glucose,45.80645790060442,51.549747597699046,84.63430588751987
Treated Cancerous Cells,Gene_D,Glucose,21.82175164700817,26.149290372761936,81.64134241294975
Treated Healthy Cells,Gene_B,Glucose,69.85741226411102,72.26472020610684,2.02486184234949
Healthy Cells,Gene_D,Glutamate,33.65154075485675,32.13511001897212,54.282521674171825
Treated Cancerous Cells,Gene_B,ATP,77.254287697462,72.46091935883172,90.66555704372695
Treated Healthy Cells,Gene_A,Pyruvate,33.75993757942995,28.48712068354765,18.138798703128046
Cancerous Cells,Gene_D,Glutamate,64.80743975027504,75.24730909357599,35.26449215570982
Treated Cancerous Cells,Gene_D,Glutamate,3.6552433989211526,3.0605496336904237,33.10536785186811
Healthy Cells,Gene_A,ATP,30.083990748386597,28.331133537384844,35.59404753997515
Cancerous Cells,Gene_D,Glutamate,48.950433626086536,49.86335064402789,4.188603045510209
Cancerous Cells,Gene_B,Glucose,5.205632972787329,4.505958191972548,27.90176837653664
Cancerous Cells,Gene_D,Glucose,20.050600387128984,18.603406137127866,29.48563127002356
Treated Cancerous Cells,Gene_C,Lactate,87.79852386804833,93.45369816412033,86.5872048489591
Healthy Cells,Gene_E,Glutamate,112.69094928527848,97.68342651801892,35.211600713170256
Cancerous Cells,Gene_B,Lactate,78.90514575571626,73.97499473904855,44.72167398935514
Treated Healthy Cells,Gene_C,Pyruvate,27.22587670952469,25.220005061691285,38.07380598803887
Cancerous Cells,Gene_A,Glucose,30.18240378522975,26.0517445435969,12.067344960158177
Cancerous Cells,Gene_B,Pyruvate,63.24654315902367,64.5790357795073,99.0356757725624
Treated Cancerous Cells,Gene_E,ATP,12.498036168015354,11.759961659870177,82.58251907047308
Treated Cancerous Cells,Gene_E,Glucose,104.11257382333412,94.83093804303667,54.09203070273668
Healthy Cells,Gene_A,Pyruvate,22.067095187702876,22.481289951018457,47.63644943891714
Treated Healthy Cells,Gene_A,ATP,83.30771835038054,99.96356254254438,64.92547254630091
Treated Cancerous Cells,Gene_B,Pyruvate,54.95585420741288,49.573379530246044,32.64311485232382
Cancerous Cells,Gene_D,ATP,63.18987785825466,77.14299889929363,5.028287035447853
Healthy Cells,Gene_A,ATP,0.2374472764551002,0.21840945055572325,40.43168136146872
Cancerous Cells,Gene_D,Glucose,103.48119505027529,88.87464047516418,98.39775774078608
Cancerous Cells,Gene_C,Lactate,25.34745714386143,27.000204478058045,18.234680587772278
Treated Cancerous Cells,Gene_E,ATP,56.1617722241542,66.79367445480653,52.77052921529724
Healthy Cells,Gene_D,ATP,72.01926677846754,80.63552807935896,0.8521396321578667
Treated Healthy Cells,Gene_E,Glucose,16.82370917708676,16.414774055900207,12.20315151785848
Treated Healthy Cells,Gene_D,Lactate,52.08619346601105,44.25094813292289,58.71917004671171
Treated Cancerous Cells,Gene_C,Glutamate,49.6262202038757,49.38359406519234,29.741392950783496
Treated Cancerous Cells,Gene_A,Glutamate,26.37705731176615,31.211946533920454,90.56844864606248
Healthy Cells,Gene_C,Lactate,50.63799452806283,48.17558297289815,40.61697659572347
Treated Healthy Cells,Gene_A,Pyruvate,34.7121217088955,31.754565765533805,20.80335971310525
Treated Healthy Cells,Gene_A,Glucose,34.53486748909419,36.07477450552092,54.55917692847036
Treated Healthy Cells,Gene_E,Lactate,72.86376866177591,66.93311787027389,79.49736351759627
Cancerous Cells,Gene_C,Glutamate,58.82669051435697,63.25932683049971,1.941969619739481
Treated Healthy Cells,Gene_D,ATP,25.912401935010827,23.226572579752524,50.55201186300413
Cancerous Cells,Gene_C,Glutamate,84.042887811408,89.74828847954245,77.34265567271463
Healthy Cells,Gene_E,ATP,77.86173425764059,86.27885456713906,10.358865463202916
Cancerous Cells,Gene_A,Glucose,58.629727626860266,50.90833066899516,90.27985189331454
Healthy Cells,Gene_E,ATP,44.165120098584815,43.32507426957504,26.451740996684936
Treated Healthy Cells,Gene_B,Lactate,34.446992778642624,37.68559829841088,17.060360771282678
Treated Healthy Cells,Gene_B,ATP,83.03571182183335,70.72679186664391,58.92560729026746
Healthy Cells,Gene_D,Pyruvate,72.29413598251001,67.16660572094705,17.50311458180289
Treated Cancerous Cells,Gene_E,Lactate,17.42633408927364,19.61806069379787,67.97015203711821
Healthy Cells,Gene_D,Glucose,70.22490431877638,67.14580313003613,49.010208199843
Treated Cancerous Cells,Gene_D,Lactate,28.98272429134497,25.243119410203995,10.995596176217992
Cancerous Cells,Gene_B,Pyruvate,2.001444693528775,1.8558336523525565,91.24901345820481
Cancerous Cells,Gene_D,Glucose,62.78220308771667,69.92086775373771,67.32054099635502
Cancerous Cells,Gene_B,Glutamate,68.31841824924288,64.47936024607496,54.5993026533768
Treated Healthy Cells,Gene_A,Pyruvate,43.03899719792114,41.08092623743415,37.43406153501307
Cancerous Cells,Gene_E,Glucose,59.31512719488845,52.568605591950615,13.48599046704717
Treated Cancerous Cells,Gene_D,ATP,82.52240365301326,94.71691917057596,70.75183710613221
Cancerous Cells,Gene_B,Lactate,64.27292168711202,59.52001809054377,81.36558200290594
Healthy Cells,Gene_C,Glucose,53.3509843730747,65.78839353365315,12.58188499383126
Healthy Cells,Gene_D,Lactate,6.89264499896318,6.391132094914109,49.45676245381424
Treated Healthy Cells,Gene_A,ATP,19.656647745192103,16.599446067512524,48.48461869924896
Healthy Cells,Gene_A,Glucose,26.175483941218754,30.095227641158818,34.99117082199676
Treated Cancerous Cells,Gene_C,Glutamate,49.866691808868765,53.93793180281431,78.93418953918051
Cancerous Cells,Gene_B,Pyruvate,80.23338193326008,77.65908959833212,9.952978380684696
Treated Healthy Cells,Gene_D,Glucose,35.11027931985485,32.1240877788587,20.501922487209
Cancerous Cells,Gene_B,ATP,33.41971096229082,35.638243047877395,0.16027689185067473
Cancerous Cells,Gene_A,Glucose,27.29809181306212,25.615088517374886,37.29853880830149
Treated Cancerous Cells,Gene_B,Lactate,29.5273371523112,25.46093292953059,29.1178167900372
Healthy Cells,Gene_A,Glucose,103.48532227615462,94.88638458947966,86.69939837581565
Healthy Cells,Gene_B,Glutamate,68.90955400041042,63.545717961889004,74.58102440761549
